Hotel_name,Review_Title,Review_Text,Sentiment,Rating_Percentage,,,,
ITC Grand Chola,Business trip to Chennai,"I arrived in Chennai at 0430 on a Monday morning. The hotel had a car and driver waiting for me.  I was in my room before 0500 and enjoyed a short nap before my week started. Through out my stay, the team at Grand Chola was friendly, helpful, and very kind.  There are some wonderful restaurants, great pools, and good exercise facilities on site.
You will not regret staying at this wonderful hotel!",3,100,,,,
ITC Grand Chola,Royal stay experience,"Royal stay experience. It is slightly overpriced but you certainly get what you pay. Reception staff is very nice. Big lobby. Variety of restaurant like madras cafe, Peshawar & Italan foods. High security. Rooms are marvellous. Controlled by ipad, you can change channel, lights, a/c, door management, door camera, order food through ipad in your room which is very good. Food is excellent. Nice variety of spirits. Amazing experience.",3,86,,,,
ITC Grand Chola,Very quiet and nicely nestled structure,Very quiet and nicely nestled structure. In spite of such a huge property was very efficiently managed. Nice and quiet rooms with open bathrooms and separate enclosures for shower and commode. Food was above average.,3,86,,,,
ITC Grand Chola,Excellent five star hotel and very near to airport,"Excellent view. Great service and great food. Swimming pool has excellent view from room. All the staff are friendly and helpful. Very good security. Has all kind of italian, pan asian and south indian food. Room AC, TV and lights can be operated from IPOD.",3,100,,,,
ITC Grand Chola,Excellent stay & value for money,Value for money. Staff were very friendly and helpful. Breakfast served was really excellent. Staff at the front desk was very helpful. Rooms were very clean and well maintained. Excellent lobby. Had a wonderful stay at the hotel. Location was excellent.,3,100,,,,
ITC Grand Chola,Conversation was not that much,The activity was available at the hotel.,3,86,,,,
ITC Grand Chola,Fantastic Hotel - opulence at its best,ITC Grand Chola is an awesome hotel with great facilities and friendly helpful staff.,3,100,,,,
ITC Grand Chola,Excellent hotel,It's a very pleasant and calm place with a combination of luxury, the service is mind blowing! Yummy and delicious breakfast! Complimentary cake for the wedding couples! A must place to try!,3,100,,,
ITC Grand Chola,Excellent stay experience,"I've booked a room in ITC Grand Chola, Chennai, for my reception. After getting the room card the butler services start. They are with us like a personal assistant in every manner, every second. Totally a privatised hotel for couples. Such a lovely stay at a seven star property. Love you all staff.",3,100,,,,
ITC Grand Chola,Overly hyped,"I heard a lot about chola, but I found not to my expectation. Highly priced rooms, over priced food, and full of false pride staff. I think, I don't need two hundred words to describe Chola. Whatever I have written should be enough to understand hotel management.",3,65,,,,
ITC Grand Chola,Good stay,Everything was nice and nothing to complain about. Breakfast was good with spread out choices line other itc properties. In room dining doesn't have many choices that's the only negative I would say about.,3,100,,,,
ITC Grand Chola,Wonderful stay in great Chennai,"ITC Grand Chola - A Luxury Collection Hotel. Wonderful stay in great Chennai. Excellent location and facilities. Great hospitality and ambiance. Good place to stay. Beautiful rooms with free wifi. Excellent breakfast and last but not the least, a very good swimming pool.",3,86,,,,
ITC Grand Chola,Hotel Review,I had visited this hotel for official trip. The room service was good. The behaviour of the staff's was good. The location of the hotel was good. There were no activities arranged by this hotel.,3,100,,,,
ITC Grand Chola,Room service was very clean,The location of the hotel was very good. The room service was very neat and clean. The overall service of the hotel was good. The food was very nice in the hotel. I had visited this hotel with my family for official work. Everything was provided in the room. I was satisfied with this hotel stay. I don’t have any suggestion for this hotel. The hotel was nearby the airport.,3,100,,,,
ITC Grand Chola,Staff was very friendly and helpful,"The location of the hotel was good. The interior and exterior appearance of the hotel was very good. The booking and front office staff was very friendly and helpful. The room was very nice, neat and clean. The other activity was not provided by the hotel. The food served was good. The quality, quantity and taste of the food were good and reasonably priced. The pickup and drop facility was provided by the hotel.",3,86,,,,
ITC Grand Chola,Hotel review,I didn’t take food from the hotel. I had visited this hotel for official purpose with my colleagues. The hotel was good. There was no delay in check in and checkout process in the hotel.,2,57,,,,
ITC Grand Chola,Excellent Hotel,"This is an excellent hotel if you are planning to be close to airport and conduct business.

It is massive and has two sections, and defo will come back to it if I am going back to india.",3,100,,,,
Hilton Chennai,,am enjoyed,3,100,,,,
Hilton Chennai,Quick 12 hour stop,In and out quickly and efficiently. Brief overnight stay before heading to airport which is a 15 minute ride away. Only hotel driver to airport was poor. Too fast poor lane discipline and too close to vehicles in front,3,100,,,,
Hilton Chennai,,Great hotel with excellent attentive staff. Very clean and quiet,3,100,,,,
Hilton Chennai,Great check in,"Short stay arrived at 4.30 am from airport, departed at Noon. Check in swift which you want in middle of night. I had lost my HH card, they managed to sign me up again overnight",3,100,,,,
Hilton Chennai,Hilton Chennai,"Very comfortable and felt safe. 
Staff were very helpful and respectful. Breakfast offered a wide choice which cartered for every palate, started early and finished late.",3,100,,,,
Hilton Chennai,Good service and pleasant staff,"The hotel is about 20 minutes from the airport. The rooms and washrooms are neat and clean. Rooms are well-equipped. Restaurants are nice, food is good. Staff is warm and pleasant. Overall, a nice stay. However, there is not much of a view from the hotel also is more suitable for business and family stay, not suitable for leisure holidays.",3,86,,,,
Hilton Chennai,Good for business vists,"Conveniently located, staff really concerned on your comfort they ensure you get our issue resolved. I had a problem noise from ballroom was too much and my room was noisy. I requested the front desk they quietly accepted the issue arranged an alternative. Icing was they asked me to relax in the new room first and relocate the next day.",3,86,,,,
Hilton Chennai,"Good experience, will visit again",The appearance of the hotel was good. The food was good with quality and quantity. The hotel was located inside the city. I had visited this hotel for official trip. The service was very good. There were activities arranged by this hotel.,3,86,,,,
Hilton Chennai,I was very impressed,I had a great stay at this facility. I am a Diamond member who has stayed in many of your properties but I was especially impressed with this one.,3,100,,,,
Hilton Chennai,Five star service,Lovely hotel which is handy for the airport. Not the best location but once inside your away from the hustle and bustle outside. A short taxi ride into town or to the beach. Service and food were wexcellent.,3,100,,,,
Hilton Chennai,Will stay again.,My stay was good. The addition of the O2 spa was terrific...thank you,3,80,,,,
Hilton Chennai,Amazing Stay,Amazing time at Hilton resort is very good and food served is amazing. Swimming pool at resort room was awesome. I can't tell you more about this amazing resort and I request you to conduct cultural programs. I had eaten chicken tandoori and the experience of the spicy food in one word is amazing.,3,86,,,,
Hilton Chennai,Very satisfying experience,"Very good and supportive staff, clean and spacious rooms, neat and classy bathrooms, good food and ambience. Q bar menu and drinks quality and cost value can be improved. Rest of the entire stay was really good. One can actually plan to check in here again!",3,71,,,,
Hilton Chennai,Great hotel not far from the airport,Stayed there for less than 10 hours before taking a long flight to Hong Kong. Staff are extremely professional. One of the the valet staff was super helpful. We wanted to go to a nearby mall and checked with hotel for transportation. Cab company contracted by the hotel quoted us Rs1200 while this valet was able to hire us a Ola cab for Rs 400.,3,100,,,,
Hilton Chennai,Great helpful staff and Great Location,"Great Service, very much appreciate the reception staff went that extra effort to organise staff at the Chennai Domestic airport to assist with my extra baggage. Thanks you and Keep up the fantastic work guys.",3,100,,,,
Hilton Chennai,Good for business stay,"Good central for business trips. A little on the higher side for the location. Rooms are tidy and new. Noise level is low, staff is friendly, Gym trainer is extra friendly. The new metro station has ruined the look from the front, but has aided connectivity.",3,86,,,,
Hilton Chennai,Awesome location and friendly staff,"The location is awesome, front office staff is very friendly, sweet and soft spoken. I like the stay, but room was very compact and beautiful, linen is very neat and clean, including towel, etc. The food was awesome, awesome service, woh, varieties and value for money.",3,86,,,,
Hilton Chennai,A relaxing Break from the streets of Chennai,"The Hilton Chennai, is a lovely hotel with very kind staff and extremely clean and relaxing rooms. Q-bar on the roof is always hopping on Friday and Saturday nights and the food at the restaurant or room service will help any western travelers belly from getting delhi belly. Just wear your bug spray in the lobby from the mosquitos they are many.",3,80,,,,
Treebo Grand Marena,Hotel is fine !,The location of hotel is inside a colony and difficult to access without a vehicle. The breakfast provided by them is also disappointing.,2,60,,,,
Treebo Grand Marena,Good stay,Hotel is very good. Area is little inside from main road but easily get through there via google map... Maintenance is very good rooms are so nicely furnished. WiFi is there tv and most prob rooms are fully air conditioned. Overall good.,3,86,,,,
Treebo Grand Marena,Good Hospitality,Good Hospitality!!!!!!!!!!Good Hospitality!!!!!!!!!!Good Hospitality!!!!!!!!!!Good Hospitality!!!!!!!!!!Good Hospitality!!!!!!!!!!Good Hospitality!!!!!!!!!!Good Hospitality!!!!!!!!!!Good Hospitality!!!!!!!!!!Good Hospitality!!!!!!!!!!Good Hospitality!!!!!!!!!!Good Hospitality!!!!!!!!!!,3,65,,,,
Treebo Grand Marena,Hotel in isolated place,"Isolated place, very difficult to find the exact place, had to wait for long for food, cab taxi availability was a problem.",2,43,,,,
Treebo Grand Marena,Good hotel to stay with good roms,"I had stayed in this hotel for a day and I had a good warm welcome in front office. Room was very clean with wooden flooring. Centralised AC, quick response with staff food was fantastic. North Indian especially, morning breakfast was good too, I would come back.",3,71,,,,
Treebo Grand Marena,Good stay with good service,"Though a business trip, it was good stay but I do hope it improves in due course of time. Since being single I might not have enjoyed the amenities but I do hope to visit next time with a friend or my family. I thank them for providing room service and good housekeeping services.",3,71,,,,
Treebo Grand Marena,Good Hotel with nice staff,"I had great stay in this hotel, this is the first place I felt people are keen and happy to serve you, with smile on their face was so genuine. They have created a good impression about the hotel the moment I landed in Chennai, and they lived up to it throughout my stay.",3,86,,,,
Treebo Grand Marena,Its a business oriented hotel,"Average, since the destination is a business oriented one, hence has not much to offer for other target groups.",2,43,,,,
Treebo Grand Marena,,It was my lifes best place which i have ever visited,3,86,,,,
Savera,,"I like food, pool, staff, gym and location and a big reason for me to choose savera. Only I they could improve their internet, they would get 5 stars.",3,80,,,,
Savera,Location is great,Not very pleasing. Hotel reception staff attitude needs improvment,2,60,,,,
Savera,,This place is infested with roaches. The towels provided very old though clean. The place charges more due to its proximity with US consulate. Food is expensive. This is an average hotel but expensive for the rates,2,60,,,,
Savera,Beautiful hotel in the city center,"I had a pleasant stay with my family at this hotel, the lobby, the reception, and the swimming pool is very beautiful.",3,100,,,,
Savera,Not very good hotel,Not very good hotel ple do not take this hotel,1,20,,,,
Savera,,We had a very nice stay at Savera,3,100,,,,
Savera,,Not worth it for the money we paid..!,2,60,,,,
Savera,Old hotel who know how to treat their guests,"The Savera Hotel is an oldie but a goody. They have been in the luxury hotel business for 50+ years and are very good at what they do. The hotel is furnished really well, the breakfast buffet is scrumptious, the location is good (central but fairly quiet). The staff are really courteous and friendly and everything worked just fine.",3,80,,,,
Savera,Review and rating,"Bathroom door was terrible. No hand towel and water bottle provided. Bathroom towel was dirty and has to be changed. Room look looked old and worn out. Out side view is a concrete jungle and very badly maintained and dirty terrace
Breakfast was very good. Staff were polite and courteous",1,40,,,,
Savera,"TOP NOTCH HOTEL, Great Hotel","Great staff, Desk Rep Sibasan ( small build guy who take care on desk wearing glasses and dark skin guy)
very Delete repeated word helpful, great food with great environment. I am sure next time I will stay at hotel Savera.",3,100,,,,
Savera,excellent room with great service. well located,ours was a short stay. rooms were well maintained and serviced. we needed a late checkout which was smoothly executed.,3,100,,,,
Savera,Wouldn't recommend for more than a day's stay,"Repeated follow ups for hot water and internet didn't fix the problem. The staff was prompt but in a 4 star hotel hot water and internet should not be an issue. 
Room service food was pretty bad and always cold.",2,60,,,,
Savera,Nice close to Consulate and Beach,good experience with hotel. Had good facilities. Near to US Consulate and Beach,3,80,,,,
Savera,Not worth for money,"Slow check-in, waited 30 mins for check-in. Room and bathroom was not clean. Waited another 20 mins for checkout.",1,40,,,,
Savera,Wonderful stay at Savera,It's really hard to believe that now with 3-4k in hand ... You can easily get a room in a 4 star hotel that too with complimentary breakfast. All thanks to MakeMyTrip and yeah the stay was really worth every penny spent. Cheers.,3,86,,,,
Savera,Awesome stay,"The premises is too good. However there is a problem with cleanliness in swimming pool water, otherwise overall experience is good. The hotel must look at its food menu rates. Better if you booked with Makemytrip app so that you can get best prices than any other travel app.",3,86,,,,
Savera,Awesome Stay,Great stay at Savera Hotel during my official trip to Chennai. Located in the heart of the city. 5 Star hospitality that you could expect from a porter too. Nice rooms and delicious food. Commendable room service. A lot of options in breakfast. Will surely recommend to my dear ones.,3,100,,,,
Savera,Good,"Good, please don't disturb by keep asking for review and sending many emails, I don't want any updates and don't force us to write 200 words, I am quite serious about this please don't force me to stop using MMT app.",3,65,,,,
Savera,Rooms are well-maintained,Rooms are well-maintained but corridors are maintained poorly. Stayed only for one night but heard from my colleagues that it is one of best hotel with more than 80 years history. Can try to stay here with family and friend and also convenient for business meetings.,3,71,,,,
Savera,Good stay,Nice and looks good. Better please provide some facilities like Mobile charger and all. Bed is OK but not cleaned well. Rest room is good. Rest of all hotels to compare nice and find. Buffet tiffen is very nice and food is also good.,3,86,,,,
Savera,Bit costly hotel,"We were in Chennai for admission of my Son at SRM University. The Hotel was little bit costly. But, stay was very comfortable. Food with different type of variety was mouth watering and tasty. Service was fantastic. Cleanliness and modern facilities are really appreciable.",3,100,,,,
Savera,Right choice for business stay,Hotel location is good. It's near to German consulate and shopping malls. Breakfast was superb with many options. Room was comfortable. They have pool and its always occupied. And food quality is good. We had a great stay.,3,86,,,,
Savera,Bad experience,"The hotel looked pretty decent from outside. However, the hallway was smelly and dirty. Room was smelling and very stuff. Bathroom was not clean and felt very suffocating. It's not value for money. Service was good and the people were nice. I strongly feel they could have maintained much better.",2,43,,,,
Savera,Nice stay and good services,"I liked the hotel, people are very nice, good service. But the room in which I was staying 411 would have smoking smell though it was a non smoking room. Ambience was pleasant, it had pool side hotel too, Swimming pool was also accessible for the guest, we enjoyed that too.",3,86,,,,
Savera,Value for money,"Room was very neat and clean. Business Standard room was quiet spacious. Very good buffet breakfast. There was a gap between floor and main door due to which, you can hear outside corridor noise and vice versa. This may be due to old construction of hotel. Its Gym and Pub - both were really good. It was near to Embassy so easy to move around. Service was good. I would suggest this hotel to others. It was value for money.",3,86,,,,
Savera,Please try some other hotel,Hotel rooms were very poor with broken floor boards. Receptionist was not ready to take any feedback and no proper response for questions. I wouldn't recommend Savera to anyone. I was charged thrice the amount mentioned on the snack pack.,2,43,,,,
Savera,A decent hotel with good service,The hotel is clean and comfortable with a wide choice of food in its three restaurants. Staff are courteous and friendly. There is a very efficient travel desk. My request for late checkout was accommodated readily but the amount charged for a 4 hour over stay beyond their usual allowance of 2 hours was a little pinching when compared to the rate I paid for my 2 nights stay through Make My Trip.,3,71,,,,
Savera,Overall good service,Service is good. Just a bit pricey. For the same price a better quality hotel is still possible,3,65,,,,
Savera,Good hotel to stay,"The room was good but the health faucet in the toilet was on the wrong side, breakfast was excellent and the overall impression was good. The location of the hotel is central, very close two popular malls.",3,71,,,,
Savera,Convenient Location/reasonable price,Room was VG.  Bit of difficilty figuring out lighting and electricity on/off functions and hair dryer was not working.  Over all a good value at paid price.  Front desk personnel were PERFECT.,3,80,,,,
Raj Park Chennai,Fine stay ....,It was very nice. I enjoyed my stay there at Raj Park. Amazing.,3,100,,,,
Raj Park Chennai,,It USB one of the worst experience I had with Raj park,1,20,,,,
Raj Park Chennai,Worst stay ever.,"Booked a Deluxe Room with an occupancy for 2 people. The room that we got had below amenities:

1) No Ventilation.
2) The room was stinky(The room was smelling like it was in close proximity with drainage) 
3) Congested (The room was very small)
4) The window opened(open the curtain) into a huge wall which was 2 feet away. Which means forget the natural light you cant even see the sky from the room with an opened window.",1,20,,,,
Raj Park Chennai,Good hotel,Very good hotel,3,100,,,,
Raj Park Chennai,Excellent stay,Overall stay was good .,3,100,,,,
Raj Park Chennai,,"Breakfast was very excellent,as well room services also good",3,100,,,,
Raj Park Chennai,Stay at Raj park,"The hotel is excellent and value for money, thus was my almost 5th or 6th stay at this hotel, I prefer this due to location and near to airport, the hotel staff is courteous and helpful, they have good gym facility also which is handy white travelling to make up your routine workouts",3,86,,,,
Raj Park Chennai,Good stay,Clean room. Polite front desk. Seemed overworked as a single person had to handle many clients. Breakfast had a good spread. Service at the restaurant was good. Good location in Chennai with easy access to all areas.,3,86,,,,
Raj Park Chennai,Very good and clean,I stayed in the hotel for couple of days. The rooms were excellent and the room service was very good and the support staff were very supportive and helped me out to my request. I would rate the hotel best in it's class.,3,100,,,,
Raj Park Chennai,Good stay,"Please improve the room service. Rooms are not cleaned on a daily basis. Waiters should promptly come to the room when called upon. Besides a very good restaurant. Good food, good location, value for money.",3,71,,,,
Raj Park Chennai,Good ambiance and location,The location and the ambience of the hotel is good! But the room was not clean at all. Asked for a room change which was not done. They need to clean the room before allocating. If this is taken care then this is an excellent hotel to stay in the centre of the city.,3,71,,,,
Raj Park Chennai,Quality of food was good,The best part was location. Other things were average. The service in restaurant was not good. Bar was good. Laundry service was good and in time. Quality of food was good. Staff was not smart. Their understanding of language was poor. Hotel was good.,3,71,,,,
Raj Park Chennai,Stay at Raj Park,0,3,65,,,,
Raj Park Chennai,Overall awesome stay,Everything was awesome. They provide mini bar too. There is too much space for luggage and AC is too powerful. Feels like home when we are in this hotel. Food stuff is amazing. Buffet is amazing with lots of dishes snacks and that too free for breakfast and just around Rs 800 for Lunch and Dinner. Just love this Hotel.,3,86,,,,
Raj Park Chennai,Great location and very poor service,"This hotel is in a fantastic location, walking distance to good restaurants and shopping. However, Service is very poor. Staff seems very poorly trained and paid, and that is exactly the service quality they offer, breakfast not up to the mark, checkout will take a long time so be prepared to add 15-20 minutes if you have a flight to catch, coffee/tea maker in room dirty and not per a 4 star property.",2,57,,,,
Raj Park Chennai,Good experience & good location,"Pros: Very good location, excellent cleanliness, friendly staff, nice breakfast buffet. Cons: Wi-Fi connection unstable and speed poor, food is very costly. I faced some problem with the locker and room access card, but they were promptly replaced. Except for the two cons mentioned above, very nice experience.",3,86,,,,
Raj Park Chennai,Vvgjhgfmkufgjljgdripjgfyikgdddggugcddghgfduovddhhh,Nice stay .... staff interaction and their service is good... satisfied for the paid.....................................................................................................................,3,65,,,,
Raj Park Chennai,Good but can improve,"Very good room and nice facilities, breakfast was very good feel like homely food. But the negative one is the net access, that the WiFi connection was not working there properly. Otherwise very good room and facilities.",3,86,,,,
Raj Park Chennai,Good experience,It was good. Worth the amount you pay. Location is good. Lot of things available nearby. Will book this hotel again in case I wish to travel to that side of the country. Overall a good and happy experience.,3,86,,,,
Raj Park Chennai,Very good hotel to stay,Hotel Raj Park is a very good one located in main location of city. The room ambience is very good. Food served is very tasty. The stay is really worth able for the amount we spend. Finally service given is nice. We can reach the hotel very easily from any corner of the city.,3,86,,,,
Raj Park Chennai,Clean room and worth it,"1. Very close to consulate and convenient for visa interview and finger printing. 2. Very good breakfast - variety and service. 3. Room was clean and worth it. Overall, top hotel especially for people coming for US visa.",3,86,,,,
Raj Park Chennai,Bad stay,"Very unhappy despite paying more, waste of money",1,20,,,,
Raj Park Chennai,Nice stay near by the US Visa Application Centers,"Got for a day and night. Nice staff. Upgraded our stay from Deluxe Double to Superior Deluxe upon our arrival. Very convenient for US Visa application center visits, hardly 2.7 Kms from Main center and 1.6 approx from the OFC. Good restaurants near by.",3,100,,,,
Raj Park Chennai,,Convenient location. Good breakfast.24 hour checkout is very convenient when you have a late night flight.,3,80,,,,
Raj Park Chennai,Nice hotel in the heart of the city,The stay at this hotel was pleasant. The room was very comfortable. The staff was very friendly.,3,80,,,,
E Hotel,Best location for people with a mind for Mall shop,"Very pleasant stay. It gave great joy to my family, especially daughters who were out for the first time. Adjoining with EA shopping mall is an ASSET!",3,80,,,,
E Hotel,Nice hotel attached to the Shopping Mall,Excellent stay. The staff was very courteous. Food was very good. Very convenient as it is attached to the mall. Room was clean.,3,100,,,,
E Hotel,,"Great hotel. Rooms were clean and large.  Hotel is attached to the Express Mall, which is convient.  Good service and breakfast.",3,80,,,,
E Hotel,A pleasant hotel,"It was a pleasant stay, for the time we spent in the room. Definitely worth  staying in, if one has  to spend a night at a hotel in Chennai. Reception was kind enough to check us in a couple of hrs prior to the standard check in time, something I was not aware of prior landing at the hotel.",3,100,,,,
E Hotel,Overall,Hotel need good Maintanance and breakfast was poor,2,60,,,,
E Hotel,Ood,Amazing,3,80,,,,
E Hotel,,it 's got a veg breakfast,2,60,,,,
E Hotel,Don't Ever Consider this Hotel Again,"Arrogant Starff, the way they treated was horrible, i was terrible disappointed. worst Staff i have ever seen in hotels, and they are really crazy.",1,20,,,,
E Hotel,Comfortable and enjoyable with family,Hotel room was spacious and very large. The services offered by the hotel personnel are cordial and appreciable. Only discomfort was that the hotel was providing only vegetarian food items. However the adjoining food court in the EA mall was providing all types of food. Overall hotel stay was enjoyable,3,86,,,,
E Hotel,Excellent value for money,"A++ friendly staff, direct access to the avenues mall, food quality great. Can improve by providing atleast 2 towels for a twin room. Stayed with my family for few days. Enjoyed the stay in e hotel. Will visit again.",3,100,,,,
E Hotel,Value for Money,"Hotel E in Chennai is located next to the shopping mall - express avenue. My stay there was great and memorable experience. The room was very clean, neat and good. Bathroom is spacious and great. More choices of breakfast dishes need to be improved. It is recommended.",3,71,,,,
E Hotel,Good Hotel ..,Food options are less ... Rest is up to the standards. Biggest advantage is it is near to the mall .. You can spend your free time in the mall. Both reside in the same compound.,3,100,,,,
E Hotel,Good modern hotel,"Hotel is good one which is built inside express avenue mall with wonderful modern look. Food quality was OK ... Type, beautiful lobby area. Location is also good.",3,65,,,,
E Hotel,Nice to stay,"Had a pleasant stay. Staff and service is very good. Since the hotel is located in the city, it is very easy to go anywhere and in the free time we can roam in the express avenue mall which is located in the same premises. Would love to stay again.",3,100,,,,
E Hotel,Very good hotel to stay,I have a nice stay here. Everything was fine for me. The hotel have an entrance to the shopping mall from the lobby itself. That seems good. The staff of the hotels are very friendly and good behaviour.,3,100,,,,
E Hotel,Business,Good hoe, in good location with all access to malls and good hospitality worth staying in hotel try to stay and feel the ambience,3,65,,,
E Hotel,Good place to stay,Hotel is very good and rooms are very clean. The location is very good and it is placed in heart of the city. We can easily access to the shopping mall and it has a good ambience. The staff are good with good hospitality and breakfast is very good.,3,86,,,,
E Hotel,It was a good stay,"The best value for money and the beast in luxury. Great interiors, classy rooms. Very good access to mall and transport services. In the heart of the lies this beauty. Food not so great. Great over all.",3,100,,,,
E Hotel,Pleasant stay,Quiet hotel in the middle of town. Very convenient. Neat and tidy. Laid back. Service takes slightly longer than one expects. Not too much choice on the variety of food. Overall a pleasant and happy experience.,3,71,,,,
E Hotel,Good location but not with the services,"The location was good but the there was no service, you don't get the feeling that you are in a hotel. The room size is good, I found cockroach in my room and I found the hotel to bit expensive for the services.",1,29,,,,
E Hotel,Awesome Stay,"It was my third visit to this property, excellent location, great people and it was my birthday and they made it memorable by celebrating with me. Awesome food, well maintained spacious rooms and value for money.",3,100,,,,
